AGRI,Crop,GW,P,SSEBop,SW,URBAN,WS_PA,WS_PA_EA,YEAR
0.008650452,0.0,0.0,73.192,61.0,0.0796888,0.12609139,1.0168952,-1.0010151,2002
0.008218627,0.0,0.0,73.46,51.0,0.084663406,0.15984322,1.0168952,-1.0010151,2002
0.007154065,0.0,0.0,69.034,115.0,0.08656763,0.20038581,1.0168952,-1.0010151,2002
0.0057484675,0.0,3.2482152,70.596,72.0,0.08527998,0.24467,1.0168952,-1.0010151,2002
0.0043514953,0.0,14.495148,70.975,2.0,0.08112513,0.28761494,1.0168952,-1.0010151,2002
0.0032493258,0.0,2.1148417,71.971,0.0,0.074847214,0.32287124,1.0168952,-1.0010151,2002
0.0025975653,0.0,20.737581,66.985,1.0,0.06751712,0.34435833,1.0168952,-1.0010151,2002
0.0024148882,0.0,0.0,65.949,22.0,0.0603839,0.3479902,1.0415046,-1.007762,2002
0.0026013965,0.0,0.0,72.238,154.0,0.054777924,0.33288363,1.0415046,-1.007762,2002
0.0029710801,0.0,34.163467,67.89,12.0,0.051958073,0.30150914,1.0415046,-1.007762,2002
0.0033014792,0.0,23.858551,70.504,330.0,0.053037636,0.25887457,1.0415046,-1.007762,2002
0.0034037095,0.0,0.0,77.631004,246.0,0.05893595,0.21104278,1.0277218,-0.9961791,2002
0.0031879435,0.0,0.0,84.294,306.0,0.07035027,0.1636276,1.0277218,-0.9961791,2002
0.0026887376,0.0,0.0,97.602,287.0,0.087725915,0.12076271,1.0277218,-0.9961791,2002
0.007489498,0.0,0.0,60.487,182.0,0.00021897058,0.027880332,1.1294067,-1.0011699,2002
0.008370715,0.0,0.0,67.062,127.0,0.00020235089,0.02241385,1.1294067,-1.0011699,2002
0.010218744,0.0,0.0,50.943,169.0,0.0002580162,0.018370332,1.1294067,-1.0011699,2002
0.01439476,0.0,0.0,55.196,6.0,0.0011742447,0.014368763,1.1294067,-1.0011699,2002
0.0142858345,0.0,0.0,60.344997,0.0,0.0019716984,0.014963357,1.1294067,-1.0011699,2002
0.013607632,0.0,0.0,62.763,23.0,0.0032259508,0.016900023,1.1294067,-1.0011699,2002
0.012616069,0.0,0.0,65.407,6.0,0.005128026,0.02062941,1.1294067,-1.0011699,2002
0.011516976,0.0,0.0,69.824,5.0,0.007894902,0.02625272,1.1294067,-1.0011699,2002
0.01047255,0.0,0.0,72.569,1.0,0.011753164,0.033419028,1.1294067,-1.0011699,2002
0.009674385,0.0,0.0,77.711,10.0,0.016896281,0.04161975,1.1294067,-1.0011699,2002
0.009377583,0.0,0.0,82.23,66.0,0.023430256,0.05068141,1.1294067,-1.0011699,2002
0.0098334355,0.0,0.0,88.91,50.0,0.03131318,0.06121524,1.1294067,-1.0011699,2002
0.011146399,0.0,0.0,90.804,5.0,0.040302873,0.0746,1.0168952,-1.0010151,2002
0.01313608,0.0,5.321135,90.22,6.0,0.0499481,0.09257893,1.0168952,-1.0010151,2002
0.015303331,0.0,7.8216586,83.124,8.0,0.0595537,0.11675426,1.0168952,-1.0010151,2002
0.016963772,0.0,2.1552842,78.428,2.0,0.06831155,0.14827524,1.0168952,-1.0010151,2002
0.017509244,0.0,0.0,75.258,68.0,0.07537929,0.18771814,1.0168952,-1.0010151,2002
0.016673619,0.0,0.0,73.758,21.0,0.0800485,0.23481153,1.0168952,-1.0010151,2002
0.014641483,0.0,0.0,73.096,109.0,0.08186333,0.2878504,1.0168952,-1.0010151,2002
0.0119462805,0.0,0.0,71.351,4.0,0.0807355,0.34310097,1.0168952,-1.0010151,2002
0.009235612,0.0,0.0,70.527,196.0,0.07700557,0.39469695,1.0168952,-1.0010151,2002
0.007053349,0.0,0.364968,68.402,4.0,0.07142157,0.4354967,1.0168952,-1.0010151,2002
0.00571456,0.0,14.265317,67.652,13.0,0.06505489,0.45876324,1.0168952,-1.0010151,2002
0.00528335,0.0,0.0,65.582,7.0,0.05915753,0.4600304,1.0415046,-1.007762,2002
0.005590201,0.0,0.0,64.351,7.0,0.055078913,0.4384157,1.0415046,-1.007762,2002
0.006281123,0.0,0.0,67.773,428.0,0.05411174,0.39684257,1.0415046,-1.007762,2002
0.0069119665,0.0,12.44097,71.76,8.0,0.057417687,0.34121567,1.0415046,-1.007762,2002
0.0070946515,0.0,0.0,78.167,257.0,0.065972164,0.27883735,1.0415046,-1.007762,2002
0.006637805,0.0,0.0,80.643,244.0,0.08052511,0.2166957,1.0277218,-0.9961791,2002
0.005604688,0.0,0.0,80.513,64.0,0.10155735,0.16017078,1.0277218,-0.9961791,2002
